date,ecom ,consum_index,xr,CPI,RTS_OGI,USD_XR,UKR_ecom,Dem_mthly,RCardinR,NRBankinR,Rbankoutside,vix_close,,
3/4/21,21731.17756,268.7098369,92.61428752,0.024282013,206.797624,73.54001078,3248.031275,2.935483871,13756.38889,37.4,190.7822222,28.56999969,,
3/5/21,24796.86969,264.1237977,92.90648784,0.024688622,211.6179458,73.80837284,3464.997667,2.935483871,13752.25,37.3,191.19,24.65999985,,
3/8/21,23450.95607,263.3594578,93.07164455,0.025984689,218.289271,74.34204741,2599.920224,2.935483871,13739.83333,37,192.4133333,25.46999931,,
3/9/21,22952.46955,263.1683729,93.35114051,0.025565374,220.4487751,74.30545259,2369.307412,2.935483871,13735.69444,36.9,192.8211111,24.03000069,,
3/10/21,17045.40421,265.4613925,93.6560452,0.025133351,219.0990851,74.25970905,2234.398617,2.935483871,13731.55556,36.8,193.2288889,22.55999947,,
3/11/21,14852.06349,268.0888107,93.73862356,0.024701329,222.0298407,74.02489224,3301.521768,2.935483871,13727.41667,36.7,193.6366667,21.90999985,,
3/12/21,14677.59321,266.9423009,94.22138931,0.0242566,224.9220337,73.51256466,2673.927559,2.935483871,13723.27778,36.6,194.0444444,20.69000053,,
3/15/21,13780.31746,268.5187519,93.92918899,0.022985946,228.1227273,73.31739224,2508.630375,2.935483871,13710.86111,36.3,195.2677778,20.03000069,,
3/16/21,13630.7715,274.2035296,94.15151532,0.023125718,227.968477,73.2137069,2564.66859,2.935483871,13706.72222,36.2,195.6755556,19.79000092,,
3/17/21,13680.62016,271.8627388,94.22138931,0.023278197,219.2918979,72.96364224,4179.417202,2.935483871,13702.58333,36.1,196.0833333,19.22999954,,
3/18/21,13580.92285,274.2990721,94.56440709,0.023405262,216.6696429,73.11917026,5739.589255,2.935483871,13698.44444,36,196.4911111,21.57999992,,
3/19/21,12982.73902,270.5729153,94.82484651,0.023557741,213.3532616,73.66199353,2344.484177,2.935483871,13694.30556,35.9,196.8988889,20.95000076,,
3/22/21,13157.2093,268.6142944,93.99906298,0.023977056,213.2375738,74.45488147,2007.354949,2.935483871,13681.88889,35.6,198.1222222,18.87999916,,
3/23/21,12633.79845,261.4008369,94.06258479,0.023989763,210.692444,74.64090517,2096.036395,2.935483871,13677.75,35.5,198.53,20.29999924,,
3/24/21,12434.40384,265.2703075,94.46277219,0.023989763,212.4277598,75.385,2161.512816,2.935483871,13673.61111,35.4,198.9377778,21.20000076,,
3/25/21,12434.40384,263.0728304,94.79943779,0.023989763,209.5355668,76.1412931,2610.935948,2.935483871,13669.47222,35.3,199.3455556,19.80999947,,
